11.3, 2540, 3, LTS, VI
105.5, 1199, 1, RS, IV
105.5, 1206, 1, RS, IV
105.5, 1225, 1, RS, IV
105.5, 1240, 1, RS, IV
105.5, 1279, 1, FS, IV
105.6, 1194, 1, RS, IV
105.6, 1208, 1, RS, IV
105.6, 1245, 1, RS, IV
105.6, 1246, 1, RS, IV
105.6, 1257, 1, RS, IV
105.6, 1258, 1, RS, IV
105.6, 1282, 1, FS, IV
105.6, 1291, 1, FS, IV
105.7, 1230, 1, RS, IV
105.7, 1262, 1, RS, IV
105.7, 1286, 1, FS, IV
105.7, 1288, 1, FS, IV
105.8, 1112, 1, FS, V
105.8, 1120, 1, FS, V
105.8, 1124, 1, FS, V
105.8, 1214, 1, RS, IV
105.8, 1218, 1, RS, IV
105.8, 1234, 1, RS, IV
105.8, 1259, 1, RS, IV
105.8, 1265, 1, RS, IV
105.8, 1290, 1, FS, IV
105.9, 1116, 1, FS, V
105.9, 1122, 1, FS, V
105.9, 1127, 1, FS, V
105.9, 1146, 1, FS, V
105.9, 1256, 1, RS, IV
105.9, 1261, 1, RS, IV
105.9, 1267, 1, RS, IV
106, 1133, 1, FS, V
106, 1209, 1, RS, IV
106, 1219, 1, RS, IV
106, 1241, 1, RS, IV
106, 1248, 1, RS, IV
106, 1281, 1, FS, IV
106.1, 1117, 1, FS, V
106.1, 1136, 1, FS, V
106.1, 1138, 1, FS, V
106.1, 1139, 1, FS, V
106.1, 1215, 1, RS, IV
106.1, 1273, 1, RS, IV
106.2, 1130, 1, FS, V
106.2, 1210, 1, RS, IV
106.2, 1285, 1, FS, IV
106.2, 1289, 1, FS, IV
106.3, 457, 0, RS, IV
106.3, 1211, 1, RS, IV
106.4, 452, 0, RS, IV
106.4, 1106, 1, FS, V
106.4, 1233, 1, RS, IV
106.4, 1235, 1, RS, IV
106.4, 1237, 1, RS, IV
106.5, 1064, 1, RS, V
106.5, 1224, 1, RS, IV
106.5, 1284, 1, FS, IV
106.6, 448, 0, RS, IV
106.6, 1111, 1, FS, V
106.6, 1128, 1, FS, V
106.6, 1242, 1, RS, IV
106.6, 1251, 1, RS, IV
106.6, 1283, 1, FS, IV
106.7, 1200, 1, RS, IV
106.7, 1226, 1, RS, IV
106.7, 1252, 1, RS, IV
106.7, 1263, 1, RS, IV
106.8, 505, 0, RS, IV
106.8, 1121, 1, FS, V
106.8, 1196, 1, RS, IV
106.8, 1197, 1, RS, IV
106.8, 1955, 2, RS, IV
106.9, 1996, 2, RS, IV
106.9, 2014, 2, RS, IV
107, 497, 0, RS, IV
107, 1105, 1, FS, V
107.1, 445, 0, RS, IV
107.1, 1141, 1, FS, V
107.2, 1143, 1, FS, V
107.2, 1223, 1, RS, IV
107.2, 1229, 1, RS, IV
107.2, 1247, 1, RS, IV
107.2, 1969, 2, RS, IV
107.3, 1278, 1, FS, IV
107.4, 1123, 1, FS, V
107.4, 1135, 1, FS, V
107.4, 1292, 1, FS, IV
107.5, 1131, 1, FS, V
107.5, 1269, 1, RS, IV
107.5, 1287, 1, FS, IV
107.6, 480, 0, RS, IV
107.6, 2027, 2, RS, IV
107.8, 474, 0, RS, IV
107.8, 1271, 1, RS, IV
107.8, 1275, 1, RS, IV
107.9, 1149, 1, FS, V
108, 1293, 1, FS, IV
108, 1956, 2, RS, IV
108.1, 517, 0, FS, IV
108.1, 518, 0, FS, IV
108.1, 532, 0, FS, IV
108.1, 2043, 2, FS, IV
108.2, 529, 0, FS, IV
108.2, 1280, 1, FS, IV
108.2, 1434, 1, RS, III
108.3, 524, 0, FS, IV
108.3, 1118, 1, FS, V
108.3, 1144, 1, FS, V
108.3, 1471, 1, FS, III
108.3, 1484, 1, FS, III
108.3, 1997, 2, RS, IV
108.3, 2214, 2, RS, III
108.4, 1125, 1, FS, V
108.4, 1279, 1, FS, IV
108.4, 2047, 2, FS, IV
108.4, 2059, 2, LTS, IV
108.5, 527, 0, FS, IV
108.5, 1282, 1, FS, IV
108.5, 1291, 1, FS, IV
108.5, 1394, 1, RS, III
108.6, 520, 0, FS, IV
108.6, 522, 0, FS, IV
108.6, 526, 0, FS, IV
108.6, 1286, 1, FS, IV
108.6, 1288, 1, FS, IV
108.6, 1392, 1, RS, III
108.6, 1409, 1, RS, III
108.6, 2048, 2, FS, IV
108.6, 2054, 2, FS, IV
108.7, 438, 0, RS, IV
108.7, 521, 0, FS, IV
108.7, 528, 0, FS, IV
108.7, 531, 0, FS, IV
108.7, 1290, 1, FS, IV
108.7, 1294, 1, LTS, IV
108.7, 1296, 1, LTS, IV
108.7, 1301, 1, LTS, IV
108.7, 1343, 1, RS, III
108.7, 2039, 2, FS, IV
108.7, 2042, 2, FS, IV
108.7, 2052, 2, FS, IV
108.7, 2053, 2, FS, IV
108.8, 1300, 1, LTS, IV
108.8, 1447, 1, RS, III
108.8, 2049, 2, FS, IV
108.9, 519, 0, FS, IV
108.9, 523, 0, FS, IV
108.9, 525, 0, FS, IV
108.9, 530, 0, FS, IV
108.9, 1281, 1, FS, IV
108.9, 1297, 1, LTS, IV
108.9, 1352, 1, RS, III
108.9, 1419, 1, RS, III
108.9, 1426, 1, RS, III
108.9, 1430, 1, RS, III
108.9, 1482, 1, FS, III
108.9, 1500, 1, FS, III
108.9, 2040, 2, FS, IV
108.9, 2051, 2, FS, IV
109, 260, 0, LTS, VI
109, 472, 0, RS, IV
109, 1320, 1, RS, III
109, 1336, 1, RS, III
109, 1425, 1, RS, III
109, 1476, 1, FS, III
109, 1480, 1, FS, III
109, 1492, 1, FS, III
109, 1494, 1, FS, III
109, 2046, 2, FS, IV
109, 2050, 2, FS, IV
109.1, 1285, 1, FS, IV
109.1, 1289, 1, FS, IV
109.1, 1302, 1, LTS, IV
109.1, 1303, 1, LTS, IV
109.1, 1323, 1, RS, III
109.1, 1325, 1, RS, III
109.1, 1356, 1, RS, III
109.1, 1459, 1, RS, III
109.1, 1472, 1, FS, III
109.1, 1487, 1, FS, III
109.1, 1499, 1, FS, III
109.1, 2045, 2, FS, IV
109.2, 487, 0, RS, IV
109.2, 1342, 1, RS, III
109.2, 1363, 1, RS, III
109.2, 1366, 1, RS, III
109.2, 1368, 1, RS, III
109.2, 1377, 1, RS, III
109.2, 1397, 1, RS, III
109.2, 1401, 1, RS, III
109.2, 1413, 1, RS, III
109.2, 1421, 1, RS, III
109.2, 1440, 1, RS, III
109.2, 1485, 1, FS, III
109.2, 1488, 1, FS, III
109.2, 1502, 1, FS, III
109.2, 2041, 2, FS, IV
109.3, 1295, 1, LTS, IV
109.3, 1317, 1, RS, III
109.3, 1326, 1, RS, III
109.3, 1417, 1, RS, III
109.3, 1427, 1, RS, III
109.3, 1457, 1, RS, III
109.4, 1107, 1, FS, V
109.4, 1284, 1, FS, IV
109.4, 1299, 1, LTS, IV
109.4, 1307, 1, RS, III
109.4, 1321, 1, RS, III
109.4, 1348, 1, RS, III
109.4, 1349, 1, RS, III
109.4, 1353, 1, RS, III
109.4, 1361, 1, RS, III
109.4, 1367, 1, RS, III
109.4, 1375, 1, RS, III
109.4, 1399, 1, RS, III
109.4, 1407, 1, RS, III
109.4, 1424, 1, RS, III
109.4, 1455, 1, RS, III
109.4, 1464, 1, RS, III
109.5, 1148, 1, FS, V
109.5, 1232, 1, RS, IV
109.5, 1283, 1, FS, IV
109.5, 1304, 1, LTS, IV
109.5, 1309, 1, RS, III
109.5, 1341, 1, RS, III
109.5, 1386, 1, RS, III
109.5, 1393, 1, RS, III
109.5, 1403, 1, RS, III
109.5, 1408, 1, RS, III
109.5, 1410, 1, RS, III
109.5, 1444, 1, RS, III
109.5, 1479, 1, FS, III
109.5, 1481, 1, FS, III
109.5, 1490, 1, FS, III
109.5, 2044, 2, FS, IV
109.6, 1305, 1, LTS, IV
109.6, 1311, 1, RS, III
109.6, 1315, 1, RS, III
109.6, 1357, 1, RS, III
109.6, 1358, 1, RS, III
109.6, 1360, 1, RS, III
109.6, 1415, 1, RS, III
109.6, 1416, 1, RS, III
109.6, 1437, 1, RS, III
109.6, 1439, 1, RS, III
109.6, 1443, 1, RS, III
109.6, 1456, 1, RS, III
109.6, 1478, 1, FS, III
109.6, 1493, 1, FS, III
109.7, 1298, 1, LTS, IV
109.7, 1306, 1, LTS, IV
109.7, 1316, 1, RS, III
109.7, 1333, 1, RS, III
109.7, 1338, 1, RS, III
109.7, 1359, 1, RS, III
109.7, 1431, 1, RS, III
109.7, 1449, 1, RS, III
109.7, 1452, 1, RS, III
109.7, 1468, 1, FS, III
109.7, 1486, 1, FS, III
109.7, 1497, 1, FS, III
109.8, 1310, 1, RS, III
109.8, 1312, 1, RS, III
109.8, 1319, 1, RS, III
109.8, 1355, 1, RS, III
109.8, 1365, 1, RS, III
109.8, 1378, 1, RS, III
109.8, 1396, 1, RS, III
109.8, 1398, 1, RS, III
109.8, 1418, 1, RS, III
109.8, 1422, 1, RS, III
109.8, 1451, 1, RS, III
109.8, 1463, 1, RS, III
109.8, 1469, 1, FS, III
109.8, 1498, 1, FS, III
109.8, 1504, 1, FS, III
109.9, 1332, 1, RS, III
109.9, 1345, 1, RS, III
109.9, 1362, 1, RS, III
109.9, 1372, 1, RS, III
109.9, 1373, 1, RS, III
109.9, 1388, 1, RS, III
109.9, 1406, 1, RS, III
109.9, 1438, 1, RS, III
109.9, 1454, 1, RS, III
109.9, 1461, 1, RS, III
109.9, 1483, 1, FS, III
110, 1318, 1, RS, III
110, 1339, 1, RS, III
110, 1346, 1, RS, III
110, 1376, 1, RS, III
110, 1405, 1, RS, III
110, 1423, 1, RS, III
110, 1435, 1, RS, III
110, 1441, 1, RS, III
110, 1453, 1, RS, III
110, 1460, 1, RS, III
110, 1475, 1, FS, III
110.1, 1314, 1, RS, III
110.1, 1331, 1, RS, III
110.1, 1337, 1, RS, III
110.1, 1340, 1, RS, III
110.1, 1391, 1, RS, III
110.1, 1400, 1, RS, III
110.1, 1414, 1, RS, III
110.1, 1428, 1, RS, III
110.1, 1458, 1, RS, III
110.2, 1278, 1, FS, IV
110.2, 1347, 1, RS, III
110.2, 1350, 1, RS, III
110.2, 1354, 1, RS, III
110.2, 1381, 1, RS, III
110.2, 1429, 1, RS, III
110.2, 1462, 1, RS, III
110.2, 1474, 1, FS, III
110.2, 1501, 1, FS, III
110.2, 2022, 2, RS, IV
110.3, 1292, 1, FS, IV
110.3, 1322, 1, RS, III
110.3, 1327, 1, RS, III
110.3, 1335, 1, RS, III
110.3, 1374, 1, RS, III
110.3, 1379, 1, RS, III
110.3, 1385, 1, RS, III
110.3, 1420, 1, RS, III
110.3, 1436, 1, RS, III
110.3, 1445, 1, RS, III
110.3, 1450, 1, RS, III
110.3, 1496, 1, FS, III
110.4, 1287, 1, FS, IV
110.4, 1330, 1, RS, III
110.4, 1370, 1, RS, III
110.4, 1412, 1, RS, III
110.4, 1446, 1, RS, III
110.4, 1477, 1, FS, III
110.5, 1380, 1, RS, III
110.5, 1466, 1, RS, III
110.5, 1495, 1, FS, III
110.6, 1387, 1, RS, III
110.7, 1328, 1, RS, III
110.7, 1364, 1, RS, III
110.7, 1448, 1, RS, III
110.8, 1384, 1, RS, III
110.8, 1402, 1, RS, III
110.8, 1411, 1, RS, III
110.8, 1432, 1, RS, III
110.8, 2815, 3, FS, IV
110.9, 1293, 1, FS, IV
110.9, 1324, 1, RS, III
110.9, 1334, 1, RS, III
110.9, 1395, 1, RS, III
110.9, 1465, 1, RS, III
111, 517, 0, FS, IV
111, 518, 0, FS, IV
111, 532, 0, FS, IV
111, 1313, 1, RS, III
111, 1404, 1, RS, III
111, 2043, 2, FS, IV
111.1, 529, 0, FS, IV
111.1, 1280, 1, FS, IV
111.1, 1369, 1, RS, III
111.1, 1383, 1, RS, III
111.1, 1389, 1, RS, III
111.1, 1442, 1, RS, III
111.1, 1491, 1, FS, III
111.1, 1991, 2, RS, IV
111.2, 524, 0, FS, IV
111.2, 1126, 1, FS, V
111.2, 1236, 1, RS, IV
111.2, 1390, 1, RS, III
111.2, 1471, 1, FS, III
111.2, 1473, 1, FS, III
111.2, 1503, 1, FS, III
111.2, 2802, 3, FS, IV
111.3, 1279, 1, FS, IV
111.3, 1308, 1, RS, III
111.3, 1371, 1, RS, III
111.3, 1470, 1, FS, III
111.3, 1489, 1, FS, III
111.3, 2047, 2, FS, IV
111.4, 527, 0, FS, IV
111.4, 1282, 1, FS, IV
111.4, 1291, 1, FS, IV
111.4, 1344, 1, RS, III
111.5, 520, 0, FS, IV
111.5, 522, 0, FS, IV
111.5, 526, 0, FS, IV
111.5, 1286, 1, FS, IV
111.5, 1288, 1, FS, IV
111.5, 2048, 2, FS, IV
111.5, 2054, 2, FS, IV
111.6, 521, 0, FS, IV
111.6, 528, 0, FS, IV
111.6, 531, 0, FS, IV
111.6, 1290, 1, FS, IV
111.6, 1351, 1, RS, III
111.6, 1382, 1, RS, III
111.6, 1484, 1, FS, III
111.6, 2039, 2, FS, IV
111.6, 2042, 2, FS, IV
111.6, 2052, 2, FS, IV
111.6, 2053, 2, FS, IV
111.7, 1467, 1, FS, III
111.7, 2049, 2, FS, IV
111.7, 2813, 3, FS, IV
111.8, 519, 0, FS, IV
111.8, 523, 0, FS, IV
111.8, 525, 0, FS, IV
111.8, 530, 0, FS, IV
111.8, 1206, 1, RS, IV
111.8, 1281, 1, FS, IV
111.8, 1482, 1, FS, III
111.8, 1500, 1, FS, III
111.8, 2040, 2, FS, IV
111.8, 2051, 2, FS, IV
111.9, 1480, 1, FS, III
111.9, 1494, 1, FS, III
111.9, 2046, 2, FS, IV
111.9, 2050, 2, FS, IV
112, 1285, 1, FS, IV
112, 1289, 1, FS, IV
112, 1472, 1, FS, III
112, 1476, 1, FS, III
112, 1487, 1, FS, III
112, 2045, 2, FS, IV
112, 2812, 3, FS, IV
112.1, 1485, 1, FS, III
112.1, 1502, 1, FS, III
112.1, 2041, 2, FS, IV
112.2, 540, 0, LTS, IV
112.2, 1199, 1, RS, IV
112.2, 1329, 1, RS, III
112.3, 1284, 1, FS, IV
112.3, 1492, 1, FS, III
112.4, 1283, 1, FS, IV
112.4, 1433, 1, RS, III
112.4, 1479, 1, FS, III
112.4, 1499, 1, FS, III
112.4, 2044, 2, FS, IV
112.4, 2805, 3, FS, IV
112.4, 2807, 3, FS, IV
112.4, 2809, 3, FS, IV
112.5, 1478, 1, FS, III
112.6, 1051, 1, RS, V
112.6, 1490, 1, FS, III
112.6, 1497, 1, FS, III
112.6, 2801, 3, FS, IV
112.6, 2804, 3, FS, IV
112.6, 2810, 3, FS, IV
112.7, 713, 0, FS, III
112.7, 1054, 1, RS, V
112.7, 1486, 1, FS, III
112.7, 1493, 1, FS, III
112.8, 722, 0, FS, III
112.8, 1056, 1, RS, V
112.8, 1073, 1, RS, V
112.8, 1224, 1, RS, IV
112.8, 1469, 1, FS, III
112.8, 1498, 1, FS, III
112.8, 2233, 2, FS, III
112.9, 682, 0, RS, III
112.9, 1063, 1, RS, V
112.9, 1251, 1, RS, IV
112.9, 1475, 1, FS, III
112.9, 1488, 1, FS, III
113, 597, 0, RS, III
113, 739, 0, FS, III
113, 1088, 1, RS, V
113, 1171, 1, IB, V
113, 2234, 2, FS, III
113, 2248, 2, FS, III
113.1, 611, 0, RS, III
113.1, 1049, 1, RS, V
113.1, 1061, 1, RS, V
113.1, 1066, 1, RS, V
113.1, 1070, 1, RS, V
113.1, 1278, 1, FS, IV
113.1, 1474, 1, FS, III
113.1, 1481, 1, FS, III
113.1, 1483, 1, FS, III
113.1, 1501, 1, FS, III
113.2, 707, 0, FS, III
113.2, 714, 0, FS, III
113.2, 727, 0, FS, III
113.2, 1046, 1, RS, V
113.2, 1184, 1, IB, V
113.2, 1191, 1, IB, V
113.2, 1292, 1, FS, IV
113.2, 1496, 1, FS, III
113.2, 2237, 2, FS, III
113.2, 2240, 2, FS, III
113.2, 2254, 2, FS, III
113.3, 600, 0, RS, III
113.3, 712, 0, FS, III
113.3, 715, 0, FS, III
113.3, 725, 0, FS, III
113.3, 728, 0, FS, III
113.3, 732, 0, FS, III
113.3, 1047, 1, RS, V
113.3, 1089, 1, RS, V
113.3, 1177, 1, IB, V
113.3, 1192, 1, IB, V
113.3, 1287, 1, FS, IV
113.3, 1468, 1, FS, III
113.3, 1477, 1, FS, III
113.3, 2244, 2, FS, III
113.3, 2245, 2, FS, III
113.3, 2249, 2, FS, III
113.3, 2255, 2, FS, III
113.3, 2258, 2, FS, III
113.4, 719, 0, FS, III
113.4, 738, 0, FS, III
113.4, 743, 0, FS, III
113.4, 1067, 1, RS, V
113.4, 1083, 1, RS, V
113.4, 1093, 1, RS, V
113.4, 1183, 1, IB, V
113.4, 2228, 2, FS, III
113.4, 2246, 2, FS, III
113.5, 616, 0, RS, III
113.5, 726, 0, FS, III
113.5, 1038, 1, RS, V
113.5, 1079, 1, RS, V
113.5, 1094, 1, RS, V
113.5, 1098, 1, RS, V
113.5, 1099, 1, RS, V
113.5, 1178, 1, IB, V
113.5, 1182, 1, IB, V
113.5, 1294, 1, LTS, IV
113.5, 1296, 1, LTS, IV
113.5, 2260, 2, FS, III
113.5, 2262, 2, FS, III
113.5, 2265, 2, FS, III
113.5, 2800, 3, FS, IV
113.6, 630, 0, RS, III
113.6, 723, 0, FS, III
113.6, 731, 0, FS, III
113.6, 733, 0, FS, III
113.6, 741, 0, FS, III
113.6, 1092, 1, RS, V
113.6, 1170, 1, IB, V
113.6, 1174, 1, IB, V
113.6, 1179, 1, IB, V
113.6, 1300, 1, LTS, IV
113.6, 2231, 2, FS, III
113.6, 2235, 2, FS, III
113.6, 2243, 2, FS, III
113.6, 2251, 2, FS, III
113.6, 2259, 2, FS, III
113.7, 706, 0, FS, III
113.7, 708, 0, FS, III
113.7, 711, 0, FS, III
113.7, 716, 0, FS, III
113.7, 721, 0, FS, III
113.7, 1035, 1, RS, V
113.7, 1036, 1, RS, V
113.7, 1040, 1, RS, V
113.7, 1044, 1, RS, V
113.7, 1050, 1, RS, V
113.7, 1072, 1, RS, V
113.7, 1084, 1, RS, V
113.7, 1102, 1, RS, V
113.7, 1168, 1, IB, V
113.7, 1175, 1, IB, V
113.7, 1176, 1, IB, V
113.7, 1187, 1, IB, V
113.7, 1297, 1, LTS, IV
113.7, 2230, 2, FS, III
113.7, 2236, 2, FS, III
113.7, 2239, 2, FS, III
113.7, 2241, 2, FS, III
113.7, 2242, 2, FS, III
113.7, 2250, 2, FS, III
113.8, 709, 0, FS, III
113.8, 720, 0, FS, III
113.8, 724, 0, FS, III
113.8, 729, 0, FS, III
113.8, 734, 0, FS, III
113.8, 1037, 1, RS, V
113.8, 1039, 1, RS, V
113.8, 1048, 1, RS, V
113.8, 1057, 1, RS, V
113.8, 1058, 1, RS, V
113.8, 1076, 1, RS, V
113.8, 1100, 1, RS, V
113.8, 1172, 1, IB, V
113.8, 1293, 1, FS, IV
113.8, 2263, 2, FS, III
113.9, 569, 0, RS, III
113.9, 710, 0, FS, III
113.9, 740, 0, FS, III
113.9, 1041, 1, RS, V
113.9, 1042, 1, RS, V
113.9, 1043, 1, RS, V
113.9, 1055, 1, RS, V
113.9, 1069, 1, RS, V
113.9, 1071, 1, RS, V
113.9, 1086, 1, RS, V
113.9, 1097, 1, RS, V
113.9, 1101, 1, RS, V
113.9, 1189, 1, IB, V
113.9, 1302, 1, LTS, IV
113.9, 1303, 1, LTS, IV
113.9, 2229, 2, FS, III
113.9, 2232, 2, FS, III
113.9, 2261, 2, FS, III
113.9, 2676, 3, LTS, V
113.9, 2808, 3, FS, IV
114, 718, 0, FS, III
114, 736, 0, FS, III
114, 1045, 1, RS, V
114, 1085, 1, RS, V
114, 1087, 1, RS, V
114, 1090, 1, RS, V
114, 1169, 1, IB, V
114, 1180, 1, IB, V
114, 1181, 1, IB, V
114, 1186, 1, IB, V
114, 1280, 1, FS, IV
114, 2238, 2, FS, III
114, 3444, 4, LTS, V
114.1, 735, 0, FS, III
114.1, 1052, 1, RS, V
114.1, 1059, 1, RS, V
114.1, 1060, 1, RS, V
114.1, 1075, 1, RS, V
114.1, 1077, 1, RS, V
114.1, 1080, 1, RS, V
114.1, 1081, 1, RS, V
114.1, 1166, 1, IB, V
114.1, 1167, 1, IB, V
114.1, 1185, 1, IB, V
114.1, 1471, 1, FS, III
114.1, 1491, 1, FS, III
114.1, 2252, 2, FS, III
114.1, 2264, 2, FS, III
114.2, 737, 0, FS, III
114.2, 1082, 1, RS, V
114.2, 1096, 1, RS, V
114.2, 1279, 1, FS, IV
114.2, 1299, 1, LTS, IV
114.2, 1470, 1, FS, III
114.2, 2256, 2, FS, III
114.3, 730, 0, FS, III
114.3, 1062, 1, RS, V
114.3, 1095, 1, RS, V
114.3, 1103, 1, RS, V
114.3, 1173, 1, IB, V
114.3, 2253, 2, FS, III
114.4, 717, 0, FS, III
114.4, 742, 0, FS, III
114.4, 1065, 1, RS, V
114.4, 1068, 1, RS, V
114.4, 1091, 1, RS, V
114.4, 1190, 1, IB, V
114.4, 1288, 1, FS, IV
114.4, 1305, 1, LTS, IV
114.4, 1504, 1, FS, III
114.4, 2247, 2, FS, III
114.5, 1034, 1, RS, V
114.5, 1074, 1, RS, V
114.5, 1165, 1, IB, V
114.5, 1291, 1, FS, IV
114.5, 1434, 1, RS, III
114.5, 1484, 1, FS, III
114.5, 2257, 2, FS, III
114.6, 1053, 1, RS, V
114.6, 1064, 1, RS, V
114.6, 1078, 1, RS, V
114.6, 1188, 1, IB, V
114.6, 1467, 1, FS, III
114.7, 1482, 1, FS, III
114.7, 3024, 3, FS, III
114.8, 1394, 1, RS, III
114.8, 1473, 1, FS, III
114.9, 1033, 1, RS, V
114.9, 1104, 1, RS, V
114.9, 1392, 1, RS, III
114.9, 1409, 1, RS, III
114.9, 1472, 1, FS, III
114.9, 3302, 4, LTS, VI
115, 548, 0, RS, III
115, 549, 0, RS, III
115, 1343, 1, RS, III
115, 2217, 2, RS, III
115, 2803, 3, FS, IV
115, 3007, 3, FS, III
115.1, 579, 0, RS, III
115.1, 639, 0, RS, III
115.1, 645, 0, RS, III
115.1, 1281, 1, FS, IV
115.1, 1447, 1, RS, III
115.1, 2039, 2, FS, IV
115.2, 559, 0, RS, III
115.2, 685, 0, RS, III
115.2, 1352, 1, RS, III
115.2, 1419, 1, RS, III
115.2, 1426, 1, RS, III
115.2, 1430, 1, RS, III
115.2, 1492, 1, FS, III
115.3, 1320, 1, RS, III
115.3, 1336, 1, RS, III
115.3, 1425, 1, RS, III
115.3, 1479, 1, FS, III
115.4, 1323, 1, RS, III
115.4, 1325, 1, RS, III
115.4, 1356, 1, RS, III
115.4, 1459, 1, RS, III
115.4, 2142, 2, RS, III
115.5, 688, 0, RS, III
115.5, 1342, 1, RS, III
115.5, 1363, 1, RS, III
115.5, 1366, 1, RS, III
115.5, 1368, 1, RS, III
115.5, 1377, 1, RS, III
115.5, 1397, 1, RS, III
115.5, 1401, 1, RS, III
115.5, 1413, 1, RS, III
115.5, 1421, 1, RS, III
115.5, 1440, 1, RS, III
115.5, 2997, 3, FS, III
115.6, 575, 0, RS, III
115.6, 713, 0, FS, III
115.6, 1317, 1, RS, III
115.6, 1326, 1, RS, III
115.6, 1417, 1, RS, III
115.6, 1427, 1, RS, III
115.6, 1457, 1, RS, III
115.6, 1476, 1, FS, III
115.6, 3003, 3, FS, III
115.7, 722, 0, FS, III
115.7, 1307, 1, RS, III
115.7, 1321, 1, RS, III
115.7, 1348, 1, RS, III
115.7, 1349, 1, RS, III
115.7, 1353, 1, RS, III
115.7, 1361, 1, RS, III
115.7, 1367, 1, RS, III
115.7, 1375, 1, RS, III
115.7, 1399, 1, RS, III
115.7, 1407, 1, RS, III
115.7, 1424, 1, RS, III
115.7, 1455, 1, RS, III
115.7, 1464, 1, RS, III
115.7, 2233, 2, FS, III
115.8, 1341, 1, RS, III
115.8, 1386, 1, RS, III
115.8, 1393, 1, RS, III
115.8, 1403, 1, RS, III
115.8, 1408, 1, RS, III
115.8, 1410, 1, RS, III
115.8, 1444, 1, RS, III
115.8, 3005, 3, FS, III
